pos_weight,dropout,val_loss,val_auroc,val_f1
15.0,0.5,0.4702858030796051,0.9375858902931213,0.3347073495388031
10.0,0.5,0.39307501912117004,0.9371005296707153,0.37271854281425476
5.0,0.5,0.2821482717990875,0.9360613226890564,0.4263959527015686
20.0,0.3,0.5468761920928955,0.935380756855011,0.31312355399131775
25.0,0.5,0.6006594896316528,0.9353365898132324,0.290909081697464
20.0,0.5,0.5470569133758545,0.9353159666061401,0.3244929909706116
20.0,0.1,0.5470373630523682,0.9350099563598633,0.32874494791030884
15.0,0.3,0.48423510789871216,0.9349677562713623,0.35242289304733276
25.0,0.3,0.5938398838043213,0.9346119165420532,0.30690160393714905
15.0,0.1,0.4877367615699768,0.9340965747833252,0.3412969410419464
10.0,0.3,0.4081823527812958,0.9334676265716553,0.3590225577354431
10.0,0.1,0.4059687554836273,0.933324933052063,0.3790983557701111
5.0,0.3,0.29045569896698,0.933301568031311,0.40787622332572937
5.0,0.1,0.2908942699432373,0.9327805042266846,0.4103967249393463
25.0,0.1,0.6372936367988586,0.9315460324287415,0.3264971375465393
